,yen
2014-04,102.4582
2014-05,101.7738
2014-06,102.0629
2014-07,101.74
2014-08,102.9438
2014-09,107.4257
2014-10,108.0264
2014-11,116.2994
2014-12,119.3233
2015-01,118.25
2015-02,118.76
2015-03,120.3945
2015-04,119.5095
2015-05,120.798
2015-06,123.7186
2015-07,123.3109
2015-08,123.0038
2015-09,120.1476
2015-10,120.0481
2015-11,122.6432
2015-12,121.635
2016-01,118.2258
2016-02,114.6155
2016-03,112.9317
2016-04,109.5519
2016-05,108.8481
2016-06,105.3509
2016-07,104.191
2016-08,101.2383
2016-09,101.7843
2016-10,103.9075
2016-11,108.443
2016-12,115.9981
2017-01,114.8721
2017-02,112.9116
2017-03,112.9165
2017-04,110.091
2017-05,112.2436
2017-06,110.9141
2017-07,112.417
2017-08,109.827
2017-09,110.776
2017-10,112.9148
2017-11,112.819
2017-12,112.9405
2018-01,110.871
2018-02,107.97
2018-03,106.0468
2018-04,107.6562
2018-05,109.6882
2018-06,110.0638
2018-07,111.521
2018-08,110.9965
2018-09,112.0974
2018-10,112.7218
2018-11,113.338
2018-12,112.1994
2019-01,108.9605
2019-02,110.44
2019-03,111.1443
2019-04,111.6414
2019-05,109.9714
2019-06,108.0685
2019-07,108.2864
2019-08,106.1886
2019-09,107.54
2019-10,108.1368
2019-11,108.8579
2019-12,109.101
2020-01,109.2667
2020-02,110.0295
2020-03,107.6673
2020-04,107.7386
2020-05,107.2
2020-06,107.5782
2020-07,106.6818
2020-08,106.0129
2020-09,105.589
2020-10,105.2095
2020-11,104.4061
2020-12,103.7952
2021-01,103.7883
2021-02,105.3774
2021-03,108.6991
2021-04,109.0445
2021-05,109.112
2021-06,110.1073
2021-07,110.2143
2021-08,109.8527
2021-09,110.161
2021-10,113.1215
2021-11,113.965
2021-12,113.8329
2022-01,114.8255
2022-02,115.2763
2022-03,118.5774
2022-04,126.3743
2022-05,128.8486
2022-06,133.9619
2022-07,136.709
2022-08,135.2835
2022-09,143.2843
2022-10,147.0515
2022-11,142.445
2022-12,134.9148
2023-01,130.4475
2023-02,133.0463
2023-03,133.6643
2023-04,133.4745
2023-05,137.0532
2023-06,141.3581
2023-07,140.936
2023-08,144.7804
2023-09,147.845
2023-10,149.5933
2023-11,149.679
2023-12,143.9815
2024-01,146.2943
2024-02,149.615
2024-03,149.8186
2024-04,153.89
2024-05,155.8691
2024-06,157.86
2024-07,157.5182
2024-08,146.2641
2024-09,142.954
2024-10,149.8909
2024-11,153.7126
2024-12,153.8143
2025-01,156.4819
2025-02,151.5716
2025-03,149.0576
2025-04,144.1286
2025-05,144.8762
2025-06,144.4835
2025-07,147.2014
2025-08,147.4786
2025-09,147.8629
2025-10,151.3545
2025-11,155.1411
2025-12,155.915
2026-01,156.6505
2026-02,155.1016
2026-03,158.6827
2026-04,159.1173
2026-05,158.153
2026-06,160.77
2026-07,162.3295
